相对路径,文件作用,是否可复用,与新实验的关系,风险或注意事项
scripts/preprocess/run_optical_condition_calibration_stage2a.py,"Stage 2A 固定外折 Ridge 校准入口",证据/逻辑复用,"验证 fold-specific train/val 生成边界","不得在融合实现中重跑或读取其 OOF 作为训练表"
utils/optical_condition_calibration.py,"Stage 2A 条件 scaler、Ridge 与校准数学工具",部分,"可参考 train-only scaler 的 JSON/验证风格","这是 acquisition condition scaler，不是最终六维 classifier feature scaler"
experiments/optical_condition_calibration_stage2a/summary/calibration_feature_schema.json,"Stage 2A schema",是,"固定 calibrated 六维顺序","raw/residual 字段并未全部进入 forbidden 列表；实现必须正向 allowlist"
experiments/optical_condition_calibration_stage2a/summary/run_manifest.json,"Stage 2A 正式 run manifest",是,"证明固定 split、逐折哈希、未读 NYHA","状态 COMPLETE，五折 train/val 文件完整"
experiments/optical_condition_calibration_stage2a/fold_{k}/train_calibrated_features.csv,"Stage 2A fold k 训练特征",是,"G-A 分类 fold k 的 400 行训练输入","是同一 outer-train Ridge 的 in-sample 转换；不得替换为 500 行 OOF 子集"
experiments/optical_condition_calibration_stage2a/fold_{k}/val_calibrated_features.csv,"Stage 2A fold k 验证特征",是,"G-A 分类 fold k 的 100 行验证输入","与 train 文件共享 fold k 校准器"
scripts/train/run_optical_condition_calibration_stage2b.py,"Stage 2B 外折+inner epoch 选择+完整 outer-train 重拟合入口",证据/逻辑复用,"验证 2B train/val 产物的数据边界","正式融合不应重跑；应记录 train in-sample/val held-out 分布风险"
utils/optical_condition_calibration_nn.py,"Stage 2B target scaler、MLP 训练和预测工具",部分,"可参考 ddof=0、std 阈值、JSON 保存与恢复","target scaler 语义不同于最终六维分类特征 scaler"
models/exif_conditioned_response_mlp.py,"Stage 2B 小型条件 MLP",否,"仅用于解释 2B 产物来源","不能作为 NYHA 融合头复用"
experiments/optical_condition_calibration_stage2b/summary/calibration_stage2b_feature_schema.json,"Stage 2B schema",是,"固定 calibrated_nn 六维顺序","raw/residual 字段未全部进入 forbidden 列表；实现必须正向 allowlist"
experiments/optical_condition_calibration_stage2b/summary/run_manifest.json,"Stage 2B 正式 run manifest",是,"证明固定 split、无临床字段、完整性与训练协议","状态 COMPLETE；当前环境 torch 为 CPU-only 与该 manifest 一致"
experiments/optical_condition_calibration_stage2b/fold_{k}/train_nn_calibrated_features.csv,"Stage 2B fold k 训练特征",是,"G-B 分类 fold k 的 400 行训练输入","完整 outer-train MLP 的 in-sample 转换"
experiments/optical_condition_calibration_stage2b/fold_{k}/val_nn_calibrated_features.csv,"Stage 2B fold k 验证特征",是,"G-B 分类 fold k 的 100 行验证输入","严格 outer-val 转换；与 in-sample train 存在潜在分布差"
models/global_roi_fusion_model.py,"Global+ROI 独立多 backbone 特征级融合",少量概念可复用,"已有 fc=Identity 的 512 维特征抽取范例","包含多图分支、投影层和额外 MLP，不适合 512+7 直接线性融合"
datasets/global_roi_fusion_dataset.py,"Global+多 ROI 同步图像 Dataset",部分,"可参考 ID 对齐、同步翻转和多输入元数据","输入仍全是图像，不是图像+六维数值"
models/multi_roi_fusion_nyha_3class.py,"共享 backbone 多 ROI concat 模型",否,"证明项目已有 concat 模式","带隐藏层/BN/ReLU/Dropout，违反本实验直接线性头设计"
tests/test_regional_optical_observations_v1.py,"Stage 1 单元测试风格",是,"新测试可沿用 pytest、明确 schema/缺失断言","本次只读复跑通过"
tests/test_optical_calibration_fivefold_protocol.py,"Stage 2A 五折协议测试",是,"新 fold 文件选择/泄漏测试模板","本次只读复跑通过"
tests/test_optical_calibration_stage2b_protocol.py,"Stage 2B 协议测试",是,"新 Stage 2B 文件选择/OOF 禁用测试模板","本次只读复跑通过"
